score,median_cagr,worst_cagr,worst_mdd,median_sharpe,family,params
-0.488931682227502,0.02244848964445062,-0.0659924653472248,0.2857824205244529,0.32120748680305344,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 12, ""n"": 1, ""vol_z"": 1.0}"
-0.5015477334739181,0.08707277633746213,0.006568837419887785,0.30075716371489725,0.3792294527744352,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 24, ""n"": 2, ""vol_z"": 0.5}"
-0.5163017720506448,0.04468651742105623,-0.10937504654015262,0.2888605335463421,0.3496797372787062,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 6, ""n"": 2, ""vol_z"": 0.5}"
-0.6421005495350091,-0.009894224111747396,-0.12882513178286903,0.2828180986070713,-0.002687488374038899,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 6, ""n"": 1, ""vol_z"": 0.5}"
-0.6433118178501916,0.1298110472007381,-0.17080890419726968,0.3270511018789284,0.8198204544641339,flow_continuation,"{""flow"": 0.12, ""hold"": 12, ""n"": 1, ""rz"": 1.5, ""vol_z"": 0.5}"
-0.685514962069714,0.05018685723167826,-0.16456132483030905,0.3052124668585823,0.29403708073131213,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 24, ""n"": 2, ""vol_z"": 0.5}"
-0.7306285127849772,0.06494983877845895,-0.06195050468583385,0.3212559012669176,0.40168983628640537,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 6, ""n"": 1, ""vol_z"": 1.0}"
-0.7331478814160333,-0.07227472495831322,-0.12882513178286903,0.275296968949182,-0.20839067727204355,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 6, ""n"": 2, ""vol_z"": 0.5}"
-0.7833831086965574,0.12892773300773963,-0.2896463437444826,0.3222081073504678,0.5388132774600624,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 6, ""n"": 2, ""vol_z"": 0.5}"
-0.8188796379477186,0.10145567768811081,-0.048302662280241715,0.3225478279854366,0.3960366862373104,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 24, ""n"": 1, ""vol_z"": 0.5}"
-0.8223845195263184,0.05793337640133822,0.031311282489012715,0.3297311467987135,0.47620844098567794,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 6, ""n"": 1, ""vol_z"": 1.0}"
-0.8426647988226978,-0.007572089778635549,-0.22414433261482847,0.30128239384681643,0.1198577511089215,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 24, ""n"": 2, ""vol_z"": 0.5}"
-0.8574859124816181,0.09851754159465198,-0.1038750385409718,0.3354730939469567,0.5835956951753577,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.35, ""flow"": 0.1, ""hold"": 12, ""n"": 1, ""vol_z"": 1.0}"
-0.8874939612343121,0.0035739805413295134,-0.22133721681642482,0.31513733977876845,0.08948413503985284,flow_continuation,"{""flow"": 0.12, ""hold"": 12, ""n"": 1, ""rz"": 2.0, ""vol_z"": 0.5}"
-0.9043643975863194,-0.036467182457226466,-0.2664801218368019,0.2940235841739022,-0.15849908814806452,flow_continuation,"{""flow"": 0.12, ""hold"": 6, ""n"": 2, ""rz"": 1.5, ""vol_z"": 0.5}"
-0.9541981786453788,0.3235399177474323,0.06744357331828055,0.3920352504380167,0.8205097659692928,residual_momentum,"{""flow_w"": 0.0, ""h"": 126, ""n"": 4, ""reb"": 1}"
-1.001862301746739,0.09242336049807448,-0.22596232917944936,0.32489196246298413,0.27480102149172125,compression_breakout,"{""breakout"": 84, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 24, ""n"": 1, ""vol_z"": 0.5}"
-1.0066981854623904,0.0074149136319163755,-0.2388681792372387,0.32490388552565963,0.10698631843929601,flow_continuation,"{""flow"": 0.12, ""hold"": 12, ""n"": 2, ""rz"": 2.0, ""vol_z"": 0.5}"
-1.0475251067050022,-0.08397487142696375,-0.2598533619891634,0.2922036607669003,-0.03789021605508,compression_breakout,"{""breakout"": 18, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 12, ""n"": 2, ""vol_z"": 1.0}"
-1.0485809558743766,0.3764650112173228,-0.12020889430146897,0.4012208169780983,0.8825288408619649,residual_momentum,"{""flow_w"": 0.0, ""h"": 42, ""n"": 2, ""reb"": 1}"
-1.079019565856323,-0.03784860473603918,-0.26950519527787675,0.3076735621019572,-0.17775359602876023,flow_continuation,"{""flow"": 0.12, ""hold"": 6, ""n"": 1, ""rz"": 1.5, ""vol_z"": 0.5}"
-1.0915257234395261,-0.018196524013568582,-0.10356973241809542,0.32526447822800675,0.10735467297002305,compression_breakout,"{""breakout"": 42, ""comp_q"": 0.2, ""flow"": 0.1, ""hold"": 6, ""n"": 2, ""vol_z"": 1.0}"
-1.0990494760755467,0.2590241800902173,-0.2505378820317581,0.3649523121603996,0.7536784199066705,residual_momentum,"{""flow_w"": 0.0, ""h"": 18, ""n"": 4, ""reb"": 3}"
